"Name","Location","Type","Data Type","Namespace","Reference Count"
"CAL_dca_enable_carspeed","40008916","Data Label","u8_speed_kph[2]","Global","2"
"CAL_dca_stationary_wait_time","40008918","Data Label","u8_time_100ms","Global","1"
"CAL_dca_enable_tps_margin","4000891a","Data Label","u8_factor_1/1023","Global","2"
"CAL_dca_activate_timer","4000891b","Data Label","u8_time_5ms","Global","1"
"CAL_dca_activate_tps_threshold","4000891c","Data Label","u16_factor_1/1023","Global","1"
"CAL_vvt_low_load_ips_enable","4000891e","Data Label","bool","Global","2"
"CAL_dca_ramp_timer_unknown","40008920","Data Label","u8_time_20ms","Global","1"
"CAL_ecu_rpm_600","40008921","Data Label","u8_rspeed_4rpm","Global","2"
"CAL_revlimit_enforce_delay_after_start","40008923","Data Label","u8_time_50ms","Global","1"
"CAL_ecu_engine_speed_decel_hysteresis_rpm","40008924","Data Label","u16_rspeed_1/4rpm","Global","5"
"CAL_ecu_rpm_5250","40008928","Data Label","u16_rspeed_rpm","Global","2"
"CAL_exhaust_flap_load_threshold_open","4000892a","Data Label","u8_load_4mg/stroke","Global","1"
"CAL_exhaust_flap_load_threshold_close","4000892b","Data Label","u8_load_4mg/stroke","Global","1"
"CAL_torque_hysteresis_threshold1","4000892c","Data Label","u8_torque_nm","Global","2"
"CAL_tpssmooth_parking_clutch_threshold","4000892d","Data Label","u8_voltage_5/255v","Global","2"
"CAL_lfb_timer_entry","4000892e","Data Label","uint8_t","Global","5"
"CAL_lfb_timer_hold","4000892f","Data Label","uint8_t","Global","3"
"CAL_lfb_tps_max","40008931","Data Label","u8_factor_1/255","Global","1"
"CAL_lfb_detect_carspeed_min","40008932","Data Label","u8_speed_kph","Global","1"
"CAL_lfb_pulse_enable","40008938","Data Label","bool","Global","2"
"CAL_lfb_clutch_threshold","4000893a","Data Label","u16_voltage_5/1023v","Global","1"
"CAL_sensor_fuel_pressure_scaling","40008940","Data Label","uint16_t","Global","1"
"CAL_sensor_fuel_pressure_offset","40008942","Data Label","u16_pressure_mbar","Global","1"
"CAL_idle_low_car_speed_exit","40008944","Data Label","u8_speed_kph","Global","1"
"CAL_idle_low_car_speed_enter","40008945","Data Label","u8_speed_kph","Global","1"
"CAL_injtip_dfco_recovery_enrichment_max_rpm","40008946","Data Label","u16_rspeed_rpm","Global","1"
"CAL_ac_compressor_engine_speed3","40008950","Data Label","u8_rspeed_4rpm[2]","Global","1"
"CAL_cooling_fan_low_rpm_hysteresis_threshold","40008952","Data Label","u8_rspeed_4rpm[2]","Global","1"
"CAL_oil_pressure_switch_voltage_scaling","40008954","Data Label","u16_pressure_mbar","Global","1"
"CAL_oil_pressure_switch_offset","40008956","Data Label","u16_pressure_mbar","Global","1"
"CAL_inj_soak_time_max","40008962","Data Label","u16_time_100ms","Global","4"
"CAL_fuel_pump_integral_update_period","40008965","Data Label","uint8_t","Global","3"
"CAL_fuel_pump_proportional_limit","40008966","Data Label","u8_factor_1/100[2]","Global","2"
"CAL_fuel_pump_integral_gain","40008968","Data Label","u8_factor_1/100","Global","2"
"CAL_fuel_pump_integral_hold_on_dfco","40008969","Data Label","bool","Global","1"
"CAL_fuel_pump_integral_pressure_deadband","4000896a","Data Label","uint8_t","Global","1"
"CAL_fuel_pump_integral_enable","4000896e","Data Label","bool","Global","1"
"CAL_fuel_pump_integral_fuel_level_min","40008978","Data Label","u16_volume_1/10gallon","Global","1"
"CAL_cluster_fuel_economy_factory_stepsize","40008979","Data Label","uint8_t","Global","4"
"CAL_tpssmooth_rate_opening_clamp_thresholds","4000897c","Data Label","u16_factor_1/1023[2]","Global","1"
"CAL_torque_proportional_limit_positive","40008980","Data Label","u16_factor_1/1023","Global","2"
"CAL_torque_proportional_limit_negative","40008982","Data Label","u16_factor_1/1023","Global","2"
"CAL_torque_integral_limit_positive","40008984","Data Label","u16_factor_1/4095","Global","2"
"CAL_torque_integral_limit_negative","40008986","Data Label","u16_factor_1/4095","Global","2"
"CAL_revlimit_torque_limit_confirmation_threshold","40008988","Data Label","u8_torque_2nm","Global","1"
"CAL_torque_limit_integral_deadband","4000898a","Data Label","uint8_t","Global","1"
"CAL_injtip_fuel_film_xtau_enable","4000898b","Data Label","bool","Global","1"
"CAL_fuel_pump_reference_voltage","4000898c","Data Label","u16_voltage_18/1023v","Global","1"
"CAL_cluster_dte_min_distance_threshold","4000898e","Data Label","u8_distance_km","Global","2"
"CAL_cluster_fuel_range_remaining_smoothing_factor","4000898f","Data Label","uint8_t","Global","1"
"CAL_cluster_fuel_mileage_update_timer","40008991","Data Label","u8_time_100ms","Global","1"
"CAL_tpssmooth_increment_b_neutral_tour","40008992","Data Label","u8_factor_1/255","Global","1"
"CAL_tpssmooth_increment_b_neutral_sport","40008993","Data Label","u8_factor_1/255","Global","1"
"CAL_ign_comp_idle_error3_X_rpm","40008996","Data Label","u8_-127[16]","Global","3"
"CAL_ign_comp_idle_error3","400089a6","Data Label","u8_angle_1/4-32deg[16]","Global","3"
"CAL_idle_comp_accel_pedal_pos_X_pps","400089b6","Data Label","u8_factor_1/255[8]","Global","1"
"CAL_idle_comp_accel_pedal_pos","400089be","Data Label","uint8_t[8]","Global","1"
"CAL_cluster_fuel_economy_factor_limit","400089c6","Data Label","uint8_t[2]","Global","2"
"CAL_cluster_fuel_range_smoothing_interval","400089c8","Data Label","u8_time_100ms","Global","1"
"CAL_cluster_fuel_usage_reset_request_timer","400089c9","Data Label","u8_time_100ms","Global","1"
"CAL_tpssmooth_rate_decay_opening_X_rpm","40008a6a","Data Label","u8_rspeed_125/4+500rpm[8]","Global","1"
"CAL_tpssmooth_rate_decay_opening","40008a72","Data Label","uint8_t[8]","Global","1"
"CAL_tpssmooth_rate_decay_closing_X_rpm","40008a7a","Data Label","u8_rspeed_125/4+500rpm[8]","Global","1"
"CAL_tpssmooth_rate_decay_closing","40008a82","Data Label","uint8_t[8]","Global","1"
"CAL_injtip_transient_throttle_response_time_X_coolant_tmp","40008a8a","Data Label","u8_temp_5/8-40c[8]","Global","1"
"CAL_injtip_transient_throttle_response_time_Y_rpm","40008a92","Data Label","u8_rspeed_125/4+500rpm[8]","Global","1"
"CAL_injtip_transient_throttle_response_time","40008a9a","Data Label","u8_time_5ms[64]","Global","1"
"CAL_injtip_comp_load1_X_load","40008ada","Data Label","u8_load_4mg/stroke[16]","Global","1"
"CAL_injtip_comp_load1","40008aea","Data Label","uint8_t[16]","Global","1"
"CAL_inj_enrichment_factor_load_n_coolant_ips_X_load","40008afa","Data Label","u8_load_4mg/stroke[12]","Global","1"
"CAL_inj_enrichment_factor_load_n_coolant_ips_Y_coolant","40008b06","Data Label","u8_temp_5/8-40c[16]","Global","1"
"CAL_inj_enrichment_factor_load_n_coolant_ips","40008b16","Data Label","u8_factor_1/64[192]","Global","1"
"CAL_cruise_proportional_gain_ips_X_gear","40008bd6","Data Label","u8_gear[4]","Global","1"
"CAL_cruise_proportional_gain_ips","40008bda","Data Label","uint8_t[4]","Global","1"
"CAL_cruise_integral_gain_ips_X_gear","40008bde","Data Label","u8_gear[4]","Global","3"
"CAL_cruise_integral_gain_ips","40008be2","Data Label","u8_factor_1/100[4]","Global","3"
"CAL_cruise_derivative_gain_ips_X_gear","40008be6","Data Label","u8_gear[4]","Global","1"
"CAL_cruise_derivative_gain_ips","40008bea","Data Label","uint8_t[4]","Global","1"
"CAL_inj_comp_air_temp_startup_X_air_temp","40008bee","Data Label","u8_temp_5/8-40c[10]","Global","4"
"CAL_inj_comp_air_temp_startup_Y_maf_accum","40008bf8","Data Label","u8_mass_g[10]","Global","4"
"CAL_inj_comp_air_temp_startup","40008c02","Data Label","uint8_t[100]","Global","4"
"CAL_sensor_engine_air_scaling","40008c66","Data Label","u8_temp_5/8-40c[33]","Global","2"
"CAL_sensor_coolant_temp_sensor_engine_off_scaling","40008c88","Data Label","u8_temp_5/8-40c[33]","Global","4"
"CAL_sensor_intake_air_scaling","40008caa","Data Label","uint8_t[32]","Global","2"
"CAL_injtip_dfco_manual_default_X_coolant_temp","40008cec","Data Label","u8_temp_5/8-40c[4]","Global","1"
"CAL_injtip_dfco_manual_default","40008cf0","Data Label","u8_rspeed_10rpm[4]","Global","1"
"CAL_injtip_dfco_disasble_ingear_manual_X_coolant_temp","40008cf4","Data Label","u8_temp_5/8-40c[4]","Global","1"
"CAL_injtip_dfco_disasble_ingear_manual","40008cf8","Data Label","u8_rspeed_10rpm[4]","Global","1"
"CAL_injtip_dfco_disasble_neutral_X_coolant_temp","40008cfc","Data Label","u8_temp_5/8-40c[4]","Global","1"
"CAL_injtip_dfco_disasble_neutral","40008d00","Data Label","u8_rspeed_10rpm[4]","Global","1"
"CAL_ign_comp_coldstart_X_coolant_temp","40008d09","Data Label","u8_temp_5/8-40c[8]","Global","1"
"CAL_ign_comp_coldstart","40008d16","Data Label","u8_angle_1/4-10deg[8]","Global","1"
"CAL_evap_purge_warmup_time_X_coolant_temp","40008d1e","Data Label","u8_temp_5/8-40c[8]","Global","1"
"CAL_evap_purge_warmup_time","40008d26","Data Label","uint8_t[8]","Global","1"
"CAL_injtip_dfco_enable_rpm_manual_alt_X_coolant_temp","40008d3e","Data Label","u8_temp_5/8-40c[4]","Global","1"
"CAL_injtip_dfco_enable_rpm_manual_alt","40008d42","Data Label","u8_rspeed_10rpm[4]","Global","1"
"unused????","40008d46","Data Label","uint16_t","Global","0"
"CAL_ac_load_limit_X_rpm","40008d48","Data Label","u8_rspeed_125/4+500rpm[4]","Global","1"
"CAL_ac_load_limit","40008d4c","Data Label","uint8_t[4]","Global","1"
"CAL_idle_comp_iat_X_iat","40008d56","Data Label","u8_temp_5/8-40c[8]","Global","1"
"CAL_idle_comp_iat","40008d5e","Data Label","u8_rspeed_rpm[8]","Global","1"
"CAL_cruise_proportional_gain_manual_longbox_X_gear","40008d66","Data Label","u8_gear[4]","Global","1"
"CAL_cruise_proportional_gain_manual_longbox","40008d6a","Data Label","uint8_t[4]","Global","1"
"CAL_cruise_integral_gain_manual_longbox_X_gear","40008d6e","Data Label","u8_gear[4]","Global","1"
"CAL_cruise_integral_gain_manual_longbox","40008d72","Data Label","u8_factor_1/100[4]","Global","1"
"CAL_cruise_derivative_gain_manual_longbox_X_gear","40008d76","Data Label","u8_gear[4]","Global","1"
"CAL_cruise_derivative_gain_manual_longbox","40008d7a","Data Label","uint8_t[4]","Global","1"
"CAL_injtip_dfco_recovery_enrich_by_duration","40008d7e","Data Label","undefined","Global","1"
